Lp.;Nazwa łacińska;Nazwa polska;Występowanie w środowisku przyrodniczym w Polsce;Kategoria stopnia inwazyjności;Kategoria stopnia rozprzestrzenienia;Mapa występowania w Geoserwisie GDOŚ
73.;Neovison vison;Norka amerykańska;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=69
74.;Nyctereutes procyonoides;Jenot;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=43
75.;Odocoileus virginianus;Jeleń wirginijski;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
76.;Ondatra zibethicus;Piżmak;TAK;bardzo inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=76
77.;Orconectes limosus;Rak pręgowany;TAK;bardzo inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=80
78.;Orconectes rusticus;;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
79.;Orconectes virilis;;NIE;średnio inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
80.;Oryctolagus cuniculus;Królik;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=54
81.;Oxyura jamaicensis;Sterniczka jamajska;TAK;mało inwazyjny gatunek obcy;populacja(e) izolowana(e);http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=92
82.;Pacifastacus leniusculus;Rak sygnałowy;TAK;średnio inwazyjny gatunek obcy;ograniczony zasięg występowania;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=81
83.;Padus serotina;Czeremcha amerykańska;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=31
84.;Parthenium hysterophorus;Partenium ambrozjowate;NIE;bardzo inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
85.;Parthenocissus inserta;Winobluszcz zaroślowy;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=110
86.;Pennisetum setaceum;Rozplenica szczecinkowata;NIE;mało inwazyjny gatunek obcy;gatunek występuje w uprawach i hodowlach;
87.;Perccottus glenii;Trawianka;TAK;średnio inwazyjny gatunek obcy;gatunek szeroko rozprzestrzeniony;http://geoserwis.gdos.gov.pl/mapy/?openedAdd=iasAdd&openedAddSelection=101
88.;Persicaria perfoliata;;NIE;mało inwazyjny gatunek obcy;gatunek nie występuje w Polsce;
